,Najnizszy_brk-a_us_d,Najwyzszy_^spx_d,Najnizszy_pfe_us_d,Zamkniecie_msft_us_d,Najwyzszy_ms_us_d,Zamkniecie_tsla_us_d,Wolumen_aapl_us_d
Najnizszy_brk-a_us_d,1.0,0.979662343606903,0.9636550608269863,0.9290791311956516,0.9490196568710416,0.8136134215230939,-0.6751228728572273
Najwyzszy_^spx_d,0.979662343606903,1.0,0.9448748724802783,0.9673470045450872,0.95656103698919,0.863280899314565,-0.6578041368944502
Najnizszy_pfe_us_d,0.9636550608269863,0.9448748724802783,1.0,0.8868375486327058,0.8864032827261926,0.76367612797005,-0.6839379983257029
Zamkniecie_msft_us_d,0.9290791311956516,0.9673470045450872,0.8868375486327058,1.0,0.9477666828105717,0.9200874254324892,-0.5337502575322441
Najwyzszy_ms_us_d,0.9490196568710416,0.95656103698919,0.8864032827261926,0.9477666828105717,1.0,0.9041662481272407,-0.5670940682982368
Zamkniecie_tsla_us_d,0.8136134215230939,0.863280899314565,0.76367612797005,0.9200874254324892,0.9041662481272407,1.0,-0.3995822038378997
Wolumen_aapl_us_d,-0.6751228728572273,-0.6578041368944502,-0.6839379983257029,-0.5337502575322441,-0.5670940682982368,-0.3995822038378997,1.0
